transaction_id,account_id,customer_name,address,account_type,timestamp,amount,channel,merchant,device_id,ip_country,ip_city,customer_tenure_days,prior_avg_txn_amount,risk_score,flagged,signals,recommended_action,confidence,reasoning,injected_fraud_pattern
TXN000001,ACC002043,Amit Joshi,"Alwarpet, Bengaluru - 160451",Current,2026-05-31T15:17:51.990471,892.2,NEFT,BSES Electricity Bill,DEV-793444,IN,Bengaluru,325,1603.04,0,False,,,,,
TXN000002,ACC000581,Manoj Mehta,"Salt Lake, Hyderabad - 197328",Savings,2026-07-18T12:15:35.423154,100263.27,IMPS,Salary Credit - Employer,DEV-667059,IN,Hyderabad,516,72191.92,0,False,,,,,
TXN000003,ACC001206,Pooja Bose,"Powai, Mumbai - 452476",Salary,2026-05-13T15:15:57.224664,138.99,POS,Zomato,DEV-440488,IN,Mumbai,2011,372.96,0,False,,,,,
TXN000004,ACC001514,Rohit Patel,"Koramangala, Bengaluru - 236305",NRI,2026-06-05T09:10:33.547318,972.08,UPI,BigBasket,DEV-933019,IN,Bengaluru,289,1073.84,0,False,,,,,
TXN000005,ACC001757,Meera Nair,"Powai, Hyderabad - 107054",Salary,2026-06-12T18:27:08.563112,83222.79,Card,HDFC Credit Card Payment,DEV-773138,IN,Hyderabad,2128,64691.28,0,False,,,,,
TXN000006,ACC000105,Manoj Singh,"Kothrud, Chennai - 188425",Savings,2026-07-29T20:06:51.202949,11680.74,UPI,Apollo Pharmacy,DEV-208529,IN,Chennai,1136,8517.77,0,False,,,,,
TXN000007,ACC000229,Kavita Chatterjee,"Kothrud, Hyderabad - 752966",Savings,2026-06-04T22:43:55.710088,752.87,NEFT,Zomato,DEV-405759,IN,Hyderabad,1521,789.14,0,False,,,,,
TXN000008,ACC000957,Arjun Chatterjee,"Jubilee Hills, Ahmedabad - 773843",NRI,2026-05-29T03:17:02.479687,832.65,UPI,Amazon India,DEV-854955,IN,Ahmedabad,1245,739.93,20,False,unusual transaction hour (03:00),,,,
TXN000009,ACC001415,Sunita Kumar,"HSR Layout, Chennai - 440317",Savings,2026-05-21T03:23:33.998610,68294.29,POS,Airtel Recharge,DEV-135666,IN,Chennai,216,68602.38,20,False,unusual transaction hour (03:00),,,,
TXN000010,ACC000429,Karan Iyer,"HSR Layout, Delhi - 892453",Savings,2026-06-21T14:49:34.486735,56908.4,IMPS,Reliance Retail,DEV-948612,IN,Delhi,2191,61338.41,0,False,,,,,
TXN000011,ACC002169,Shalini Gupta,"Alwarpet, Bengaluru - 277192",Salary,2026-05-28T10:17:43.630923,523.58,UPI,BigBasket,DEV-216698,IN,Bengaluru,68,556.99,0,False,,,,,
TXN000012,ACC001079,Shalini Gupta,"Aundh, Ahmedabad - 734148",Salary,2026-05-04T21:58:27.215036,1465.17,NEFT,Flipkart,DEV-435581,IN,Ahmedabad,1705,8273.19,0,False,,,,,
TXN000013,ACC000350,Rajesh Singh,"Aundh, Chennai - 742544",Savings,2026-05-08T20:24:03.471081,29506.41,UPI,DMart,DEV-205641,IN,Chennai,2249,28698.91,0,False,,,,,
TXN000014,ACC001973,Priya Reddy,"Koramangala, Delhi - 444722",Savings,2026-07-23T22:41:59.265525,6564.42,POS,Amazon India,DEV-616782,IN,Delhi,1530,7477.33,0,False,,,,,
TXN000015,ACC001841,Rajesh Rao,"Indiranagar, Pune - 387150",Savings,2026-07-05T10:12:07.470013,34308.21,UPI,Metro Card Recharge,DEV-732819,IN,Pune,192,49111.84,0,False,,,,,
TXN000016,ACC001771,Rohit Patel,"Powai, Hyderabad - 333159",Savings,2026-06-01T14:33:22.145533,53387.06,UPI,BigBasket,DEV-197157,IN,Hyderabad,51,53966.54,0,False,,,,,
TXN000017,ACC000762,Karan Pillai,"Koramangala, Kolkata - 412828",Savings,2026-05-11T22:53:22.163801,191.31,UPI,Apollo Pharmacy,DEV-387210,IN,Kolkata,458,685.73,0,False,,,,,
TXN000018,ACC000082,Karan Nair,"Salt Lake, Chennai - 564920",Salary,2026-05-23T22:30:37.888260,9706.32,UPI,Myntra,DEV-134305,IN,Chennai,109,10003.48,0,False,,,,,
TXN000019,ACC001175,Deepak Nair,"HSR Layout, Pune - 430489",Savings,2026-05-25T13:13:42.193156,90541.82,NEFT,Local Kirana Store,DEV-699678,IN,Pune,39,75388.15,0,False,,,,,
TXN000020,ACC002014,Rajesh Reddy,"Jubilee Hills, Bengaluru - 546066",Savings,2026-06-16T08:18:50.964741,61888.49,UPI,Uber,DEV-899535,IN,Bengaluru,720,42506.6,0,False,,,,,
TXN000021,ACC001238,Karan Pillai,"Gachibowli, Chennai - 199937",Salary,2026-05-13T16:43:59.549694,44807.22,NEFT,Netflix India,DEV-620792,IN,Chennai,238,54771.89,0,False,,,,,
TXN000022,ACC000534,Anjali Kumar,"Andheri West, Hyderabad - 776748",Salary,2026-05-02T20:53:17.723553,35792.87,UPI,DMart,DEV-485602,IN,Hyderabad,1374,38594.87,0,False,,,,,
TXN000023,ACC001050,Deepak Gupta,"Malviya Nagar, Bengaluru - 521398",Savings,2026-06-30T18:29:15.230837,106107.86,IMPS,Ola,DEV-690729,IN,Bengaluru,1210,78936.12,0,False,,,,,
TXN000024,ACC001072,Anjali Bose,"Salt Lake, Pune - 610168",Savings,2026-05-15T16:12:52.204769,41405.29,UPI,Swiggy,DEV-391157,IN,Pune,168,34728.94,0,False,,,,,
TXN000025,ACC001112,Sunita Bose,"Vasant Kunj, Mumbai - 714110",Savings,2026-05-23T22:25:17.875926,12452.94,UPI,HDFC Credit Card Payment,DEV-785456,IN,Mumbai,257,40231.58,0,False,,,,,
TXN000026,ACC002188,Pooja Pillai,"Aundh, Ahmedabad - 404013",Savings,2026-06-06T13:53:53.467973,14920.32,UPI,BigBasket,DEV-421570,IN,Ahmedabad,90,14393.72,0,False,,,,,
TXN000027,ACC001940,Sunita Rao,"Andheri West, Bengaluru - 198825",Current,2026-06-21T02:46:33.809334,1773.06,UPI,Netflix India,DEV-649236,IN,Bengaluru,2055,1226.22,20,False,unusual transaction hour (02:00),,,,
TXN000028,ACC000329,Priya Iyer,"Andheri West, Kolkata - 355506",Current,2026-05-31T16:44:36.342392,1006.95,UPI,Netflix India,DEV-778700,IN,Kolkata,242,1066.73,0,False,,,,,
TXN000029,ACC000051,Shalini Joshi,"Gachibowli, Chennai - 882169",Savings,2026-05-30T03:02:41.504469,7334.7,UPI,Apollo Pharmacy,DEV-596249,IN,Chennai,77,5162.97,20,False,unusual transaction hour (03:00),,,,
TXN000030,ACC000101,Vikram Rao,"Salt Lake, Bengaluru - 207798",Savings,2026-06-22T07:34:22.878253,6989.46,UPI,Rent Payment - Landlord,DEV-862712,IN,Bengaluru,116,4520.75,0,False,,,,,
TXN000031,ACC001244,Priya Reddy,"Gachibowli, Kolkata - 879885",Savings,2026-07-17T08:07:20.175379,13040.86,IMPS,Petrol Pump - HP,DEV-514708,IN,Kolkata,540,12114.24,0,False,,,,,
TXN000032,ACC001047,Deepak Gupta,"Kothrud, Pune - 300241",Salary,2026-07-22T02:49:21.793118,1021.37,POS,Flipkart,DEV-357957,IN,Pune,1854,786.82,20,False,unusual transaction hour (02:00),,,,
TXN000033,ACC001379,Kavita Joshi,"Vasant Kunj, Bengaluru - 754446",Salary,2026-06-08T13:43:58.152788,22261.9,UPI,Netflix India,DEV-671808,IN,Bengaluru,500,29920.39,0,False,,,,,
TXN000034,ACC000895,Deepak Rao,"Aundh, Kolkata - 703618",NRI,2026-05-07T03:33:50.830357,60018.81,UPI,LIC Premium,DEV-903266,IN,Kolkata,1095,48950.66,20,False,unusual transaction hour (03:00),,,,
TXN000035,ACC000812,Meera Nair,"Ballygunge, Kolkata - 184638",Savings,2026-06-25T11:06:30.899923,16988.73,UPI,Airtel Recharge,DEV-306283,IN,Kolkata,209,24271.88,0,False,,,,,
TXN000036,ACC000634,Ritu Verma,"Kothrud, Hyderabad - 110151",Savings,2026-07-10T22:54:20.535292,30314.39,IMPS,Zomato,DEV-234580,IN,Hyderabad,1223,39355.51,0,False,,,,,
TXN000037,ACC001540,Pooja Singh,"Jubilee Hills, Kolkata - 759711",Savings,2026-05-07T11:42:00.843663,27646.64,IMPS,Ola,DEV-145559,IN,Kolkata,446,40066.78,0,False,,,,,
TXN000038,ACC002116,Anil Kumar,"Banjara Hills, Pune - 252848",NRI,2026-06-03T07:38:45.179243,445.01,UPI,Amazon India,DEV-837630,IN,Pune,1805,433.11,0,False,,,,,
TXN000039,ACC001052,Pooja Joshi,"Powai, Hyderabad - 169230",Current,2026-06-23T21:50:57.788566,478.46,UPI,DMart,DEV-323359,IN,Hyderabad,57,763.93,0,False,,,,,
TXN000040,ACC000420,Priya Mehta,"HSR Layout, Kolkata - 878656",Current,2026-07-29T22:32:59.031481,6245.73,UPI,Zomato,DEV-584935,IN,Kolkata,921,7988.03,0,False,,,,,
TXN000041,ACC000258,Shalini Joshi,"Indiranagar, Kolkata - 516656",Salary,2026-07-06T21:39:11.318209,1479.84,Card,Uber,DEV-191254,IN,Kolkata,252,1701.39,0,False,,,,,
